text,label,language
반전은 좋은데 그러네 ㅎㅎ,neutral,ko
"Очень сильно пахнет. Нет, воняет. Плюс прислали другой размер. Деньги вернули.",neutral,ru
처음엔 별 기대없이 강동원 보려고 본 영화인데 마지막이 좀 아쉽지만 그래서 더욱 여운에 남는 영화 ㅠㅠ 오랜만에 좋은 영화 한 편 봐서 좋아요,positive,ko
Nice cocktails and great service from attentive staff.,positive,en
pixivで発見してぴんくも絶対見ると思ってたのです。 まーくんがすべてのあっくん。 優しい玉井。全部ツボ。,neutral,ja
"Buena compra
Lo compré por tener un segundo cable y por proteger los bordes de mi disco duro. Encaja perfectamente y queda bien. Relación calidad precio buena.",positive,es
"Great fit
This Swim Cap is a great fit. My hair is about 14"" in Length over all and this cap was able to fit my hair in comfortably with room to spare.",positive,en
Yesterday's update is producing some strange issues. The app will not refresh and I can scroll one or two posts and then it hangs.,negative,en
"Buenos días, amanecer de muy buen humor",positive,es
"Enttäuscht.
eine solche Tasche habe ich schon von einem ANDEREN Hersteller. Bei dieser ist nach einem halben Jahr der ReissVerschluss kaputt gegangen. Ärgerlich.",negative,de
"Une vraie mine d’informations
Pour avoir suivi pas mal de formations de marketing à plusieurs milliers d’euros, je dois dire que ce livre regroupe à lui seul toutes les connaissances à avoir pour vendre en dépassant les mécanismes de défense complètement inconscients de chaque consommateur. Il est bourré d’exemples et m’a vraiment permis de comprendre ce qui pouvait manquer sur mes pages de vente et quoi mettre en avant dans mes discours, et cela porte ses fruits. En bref c’est un excellent investissement, l’auteur donne de vraies clés, de vraies pépites (contrairement à d’autres livres qui restent vraiment théoriques) et à mon sens c’est un réel ouvrage de référence que je recommande complètement à toute personne qu’elle soit néophyte ou qu’elle souhaite simplement mieux vendre.",positive,fr
